Year,Rank,Team,Player,College,Years,Minutes,MPG,WS,WS48,BPM,VORP
2020,27,UTA,Udoka Azubuike,Kansas,1,57,3.8,0.1,.119,-4.9,0.0
2020,28,LAL,Jaden McDaniels,Washington,1,1511,24.0,1.4,.046,-3.8,-0.7
2020,29,TOR,Malachi Flynn,San Diego State,1,928,19.7,0.8,.041,-2.8,-0.2
2020,30,BOS,Desmond Bane,TCU,1,1519,22.3,2.9,.093,-1.0,0.4
2020,31,DAL,Tyrell Terry,Stanford,1,56,5.1,-0.1,-.049,-5.5,-0.1
2020,32,CHO,Vernon Carey Jr.,Duke,1,115,6.1,0.2,.066,-6.2,-0.1
2020,33,MIN,Daniel Oturu,Minnesota,1,161,5.4,0.3,.081,-5.6,-0.1
2020,34,PHI,Théo Maledon,,1,1778,27.4,-0.8,-.021,-5.2,-1.4
2020,35,SAC,Xavier Tillman Sr.,Michigan State,1,1085,18.4,2.9,.127,-0.4,0.4
2020,36,PHI,Tyler Bey,Colorado,1,71,3.9,0.0,-.033,-9.6,-0.1
2020,37,WAS,Vit Krejci,,,,,,,,
2020,38,UTA,Saben Lee,Vanderbilt,1,781,16.3,1.5,.091,-1.9,0.0
2020,39,NOP,Elijah Hughes,Syracuse,1,64,3.6,0.0,-.013,-3.7,0.0
2020,40,MEM,Robert Woodard,Mississippi State,1,45,3.5,0.0,-.011,-5.4,0.0
2020,41,SAS,Tre Jones,Duke,1,269,7.3,0.4,.066,-3.4,-0.1
2020,42,NOP,Nick Richards,Kentucky,1,63,3.5,0.0,.026,-8.7,-0.1
2020,43,SAC,Jahmi'us Ramsey,Texas Tech,1,94,7.2,0.0,.012,-4.7,-0.1
2020,44,CHI,Marko Simonovic,,,,,,,,
2020,45,MIL,Jordan Nwora,Louisville,1,274,9.1,0.4,.068,-1.3,0.0
2020,46,POR,CJ Elleby,Washington State,1,192,6.4,0.1,.032,-5.6,-0.2
2020,47,BOS,Yam Madar,,,,,,,,
2020,48,GSW,Nico Mannion,Arizona,1,364,12.1,0.2,.029,-4.1,-0.2
2020,49,PHI,Isaiah Joe,Arkansas,1,383,9.3,0.6,.078,-3.5,-0.1
2020,50,ATL,Skylar Mays,LSU,1,269,8.2,0.8,.140,1.6,0.2
2020,51,GSW,Justinian Jessup,Boise State,,,,,,,
2020,52,SAC,Kenyon Martin Jr.,,1,1068,23.7,2.2,.099,-1.8,0.0
2020,53,OKC,Cassius Winston,Michigan State,1,98,4.5,0.1,.066,-3.0,0.0
2020,54,IND,Cassius Stanley,Duke,1,93,3.9,-0.1,-.050,-11.2,-0.2
2020,55,BRK,Jay Scrubb,John A. Logan College,1,84,21.0,-0.1,-.072,-10.9,-0.2
2020,56,CHO,Grant Riller,College of Charleston,1,27,3.9,0.1,.177,5.4,0.1
2020,57,LAC,Reggie Perry,Mississippi State,1,211,8.1,0.2,.040,-6.7,-0.2
2020,58,PHI,Paul Reed,DePaul,1,177,6.8,0.6,.162,-0.9,0.0
2020,59,TOR,Jalen Harris,Nevada,1,172,13.2,0.3,.079,0.6,0.1
2020,60,NOP,Sam Merrill,Utah State University,1,233,7.8,0.5,.102,-1.4,0.0
