Year,Rank,Team,Player,College,Years,Minutes,MPG,WS,WS48,BPM,VORP
2007,20,MIA,Jason Smith,Colorado State,11,10029,16.3,14.1,.067,-2.9,-2.4
2007,21,PHI,Daequan Cook,Ohio State,6,5993,18.3,4.9,.039,-2.7,-1.1
2007,22,CHA,Jared Dudley,Boston College,14,20117,22.3,43.0,.103,0.2,11.0
2007,23,NYK,Wilson Chandler,DePaul,12,20287,30.0,29.0,.069,-1.3,3.5
2007,24,PHO,Rudy Fernández,,4,5965,24.0,14.2,.114,1.7,5.6
2007,25,UTA,Morris Almond,Rice University,3,361,9.5,0.0,.005,-6.1,-0.4
2007,26,HOU,Aaron Brooks,Oregon,10,13439,20.8,19.2,.069,-1.2,2.7
2007,27,DET,Arron Afflalo,UCLA,11,20829,27.3,33.5,.077,-1.5,2.4
2007,28,SAS,Tiago Splitter,,7,6812,19.2,25.3,.178,1.1,5.4
2007,29,PHO,Alando Tucker,Wisconsin,3,426,8.4,0.4,.045,-4.5,-0.3
2007,30,PHI,Petteri Koponen,,,,,,,,
2007,31,SEA,Carl Landry,Purdue,9,11524,22.5,35.9,.149,-0.3,5.0
2007,32,BOS,Gabe Pruitt,USC,2,461,7.4,0.4,.043,-2.8,-0.1
2007,33,SAS,Marcus Williams,Arizona,2,39,3.0,-0.1,-.084,-5.4,0.0
2007,34,DAL,Nick Fazekas,Nevada,1,269,10.3,0.8,.148,0.5,0.2
2007,35,SEA,Glen Davis,LSU,8,10865,21.1,18.6,.082,-2.6,-1.7
2007,36,GSW,Jermareo Davidson,Alabama,2,433,8.3,0.0,.000,-5.2,-0.3
2007,37,POR,Josh McRoberts,Duke,11,8271,19.1,18.5,.107,0.3,4.7
2007,38,PHI,Kyrylo Fesenko,,5,1107,8.2,0.9,.038,-5.7,-1.1
2007,39,MIA,Stanko Barać,,,,,,,,
2007,40,LAL,Sun Yue,,1,28,2.8,-0.1,-.226,-19.4,-0.1
2007,41,MIN,Chris Richard,Florida,2,780,11.1,0.7,.045,-5.7,-0.7
2007,42,POR,Derrick Byars,Vanderbilt,1,37,18.5,0.1,.147,-4.7,0.0
2007,43,NOK,,Iowa,,,,,,,
2007,44,ORL,,UNC,,,,,,,
2007,45,LAC,,Marist College,,,,,,,
2007,46,GSW,Stéphane Lasme,UMass,1,303,18.9,0.3,.041,-4.4,-0.2
2007,47,WAS,Dominic McGuire,Fresno State,6,5348,15.6,4.1,.037,-2.1,-0.1
2007,48,LAL,Marc Gasol,,13,28719,32.2,85.3,.143,3.1,36.5
2007,49,CHI,Aaron Gray,Pitt,7,3851,12.1,6.2,.077,-3.6,-1.5
2007,50,DAL,Renaldas Seibutis,,,,,,,,
2007,51,CHI,JamesOn Curry,Oklahoma State,1,0,0.0,0.0,,,0.0
2007,52,POR,Taurean Green,Florida,1,74,4.4,-0.1,-.066,-7.5,-0.1
2007,53,POR,Demetris Nichols,Syracuse,2,58,3.2,-0.2,-.203,-10.3,-0.1
2007,54,HOU,Brad Newley,,,,,,,,
2007,55,UTA,,Providence,,,,,,,
2007,56,MIL,Ramon Sessions,Nevada,11,16119,23.3,28.8,.086,-0.7,5.2
2007,57,DET,,DePaul,,,,,,,
2007,58,SAS,Georgios Printezis,,,,,,,,
2007,59,PHO,D.J. Strawberry,Maryland,1,270,8.2,-0.2,-.031,-5.6,-0.2
2007,60,DAL,Milovan Raković,,,,,,,,
2008,1,CHI,Derrick Rose,Memphis,12,20681,32.0,42.8,.099,1.3,17.6
2008,2,MIA,Michael Beasley,Kansas State,11,13903,22.8,15.6,.054,-1.7,0.9
2008,3,MIN,O.J. Mayo,USC,8,16919,30.9,21.8,.062,-0.9,4.7
2008,4,SEA,Russell Westbrook,UCLA,13,32748,34.7,104.8,.154,4.7,55.3
2008,5,MEM,Kevin Love,UCLA,13,23425,31.7,83.0,.170,3.3,31.3
2008,6,NYK,Danilo Gallinari,,12,20108,30.4,60.5,.144,2.0,20.0
2008,7,LAC,Eric Gordon,Indiana,13,22588,32.6,34.9,.074,-0.4,8.9
2008,8,MIL,Joe Alexander,West Virginia,2,745,11.1,0.5,.030,-3.6,-0.3
2008,9,CHA,D.J. Augustin,Texas,13,21968,23.9,46.9,.102,-0.6,7.9
2008,10,NJN,Brook Lopez,Stanford,13,25894,30.3,70.8,.131,1.3,21.7
2008,11,IND,Jerryd Bayless,Arizona,11,12486,21.3,18.6,.072,-1.6,1.1
2008,12,SAC,Jason Thompson,Rider University,8,14819,25.2,23.8,.077,-2.6,-2.4
2008,13,POR,Brandon Rush,Kansas,9,10564,22.0,11.2,.051,-1.4,1.6
2008,14,GSW,Anthony Randolph,LSU,6,3841,15.2,5.8,.072,-1.6,0.4
2008,15,PHO,Robin Lopez,Stanford,13,19961,22.1,48.2,.116,-1.0,4.9
2008,16,PHI,Marreese Speights,Florida,10,10640,15.1,25.8,.116,-2.2,-0.6
2008,17,TOR,Roy Hibbert,Georgetown,9,16389,24.8,35.9,.105,-1.1,3.5
2008,18,WAS,JaVale McGee,Nevada,13,12810,17.1,37.5,.141,0.1,6.6
2008,19,CLE,J.J. Hickson,NC State,8,11925,22.3,21.9,.088,-1.8,0.5
2008,20,CHA,Alexis Ajinça,,7,3905,13.3,7.5,.093,-2.8,-0.8
2008,21,NJN,Ryan Anderson,California,12,16769,25.8,46.7,.134,1.0,12.8
2008,22,ORL,Courtney Lee,Western Kentucky,12,21938,27.1,39.3,.086,-0.6,7.9
2008,23,UTA,Kosta Koufos,Ohio State,11,11271,16.4,28.3,.120,-1.3,2.0
2008,24,SEA,Serge Ibaka,,12,24064,28.3,70.8,.141,0.6,15.5
2008,25,HOU,Nicolas Batum,,13,26568,31.0,59.7,.108,1.6,24.2
2008,26,SAS,George Hill,IUPUI,13,22414,27.5,66.9,.143,1.4,19.1
2008,27,NOH,Darrell Arthur,Kansas,9,8945,17.8,12.3,.066,-2.2,-0.4
2008,28,MEM,Donté Greene,Syracuse,4,4259,16.8,1.5,.017,-2.8,-0.9
2008,29,DET,D.J. White,Indiana,6,2111,15.3,3.8,.087,-2.1,0.0
2008,30,BOS,J.R. Giddens,New Mexico,2,247,6.5,0.1,.027,-4.3,-0.1
2008,31,MIN,Nikola Peković,,6,6744,24.9,18.8,.134,-0.7,2.2
2008,32,SEA,Walter Sharpe,UAB,1,20,2.5,-0.1,-.131,-10.1,0.0
2008,33,POR,Joey Dorsey,Memphis,4,1488,11.4,2.9,.092,-2.7,-0.3
2008,34,MIN,Mario Chalmers,Kansas,9,17245,26.7,32.3,.090,-0.6,5.9
2008,35,LAC,DeAndre Jordan,Texas A&amp;M,13,25572,27.4,92.5,.174,1.4,21.7
2008,36,POR,Ömer Aşık,,8,9216,19.6,20.9,.109,-1.9,0.1
2008,37,MIL,Luc Mbah a Moute,UCLA,12,16038,23.3,26.0,.078,-1.5,2.0
2008,38,CHA,Kyle Weaver,Washington State,3,1379,18.9,1.5,.051,-1.1,0.3
2008,39,CHI,Sonny Weems,Arkansas,4,3335,18.2,0.0,.001,-4.2,-1.8
2008,40,NJN,Chris Douglas-Roberts,Memphis,6,4381,19.7,5.4,.059,-2.2,-0.2
2008,41,IND,Nathan Jawai,,2,431,9.6,0.2,.020,-4.4,-0.3
2008,42,SAC,Sean Singletary,Virginia,1,303,8.2,0.0,.006,-5.1,-0.2
2008,43,SAC,Patrick Ewing,Georgetown,1,19,2.7,-0.1,-.158,-9.1,0.0
2008,44,UTA,Ante Tomić,,,,,,,,
2008,45,SAS,Goran Dragić,,13,24236,28.0,55.9,.111,0.6,16.2
2008,46,SEA,,Brigham Young University Hawaii,,,,,,,
2008,47,WAS,Henry Walker,Kansas State,5,3016,16.7,5.0,.079,-1.8,0.2
2008,48,PHO,Malik Hairston,Oregon,2,472,7.6,0.8,.086,-2.0,0.0
2008,49,GSW,,Alabama,,,,,,,
2008,50,SEA,DeVon Hardin,California,,,,,,,
2008,51,DAL,,Vanderbilt,,,,,,,
2008,52,MIA,Darnell Jackson,Kansas,3,1039,7.5,1.3,.059,-5.2,-0.8
2008,53,UTA,Tadija Dragićević,,,,,,,,
2008,54,HOU,Maarty Leunen,Oregon,,,,,,,
2008,55,POR,Mike Taylor,Iowa State,1,771,15.1,-0.4,-.028,-5.2,-0.6
2008,56,SEA,Sasha Kaun,Kansas,1,95,3.8,0.2,.096,-2.8,0.0
2008,57,SAS,,Maryland,,,,,,,
2008,58,LAL,Joe Crawford,Kentucky,1,23,11.5,0.0,.037,-2.7,0.0
2008,59,DET,,Virginia Tech,,,,,,,
2008,60,BOS,Semih Erden,,2,928,13.4,1.8,.094,-3.6,-0.4
2009,1,LAC,Blake Griffin,Oklahoma,11,22857,34.2,77.2,.162,3.6,32.1
2009,2,MEM,Hasheem Thabeet,UConn,5,2357,10.5,4.8,.099,-2.7,-0.4
2009,3,OKC,James Harden,Arizona State,12,30198,34.4,142.0,.226,6.9,68.1
2009,4,SAC,Tyreke Evans,Memphis,10,18242,30.7,28.4,.075,0.8,13.1
2009,5,MIN,Ricky Rubio,,10,19158,30.4,40.3,.101,0.6,12.8
2009,6,MIN,Jonny Flynn,Syracuse,3,3738,22.9,-1.1,-.015,-4.0,-1.9
2009,7,GSW,Stephen Curry,Davidson,12,26150,34.3,112.2,.206,6.5,56.3
2009,8,NYK,Jordan Hill,Arizona,8,7692,18.8,16.4,.102,-2.0,0.0
2009,9,TOR,DeMar DeRozan,USC,12,30046,34.1,74.9,.120,0.6,19.6
2009,10,MIL,Brandon Jennings,,9,16844,30.3,29.9,.085,0.8,11.8
2009,11,NJN,Terrence Williams,Louisville,4,2922,19.1,-0.2,-.004,-2.8,-0.6
2009,12,CHA,Gerald Henderson,Duke,8,13854,25.9,18.3,.063,-1.8,0.6
2009,13,IND,Tyler Hansbrough,UNC,7,7233,16.9,20.2,.134,-2.0,0.0
2009,14,PHO,Earl Clark,Louisville,6,3630,13.9,2.9,.038,-2.8,-0.8
2009,15,DET,Austin Daye,Gonzaga,6,4132,14.1,4.5,.053,-2.0,0.0
2009,16,CHI,James Johnson,Wake Forest,12,14124,20.6,25.8,.088,0.7,9.5
2009,17,PHI,Jrue Holiday,UCLA,12,25610,33.2,49.5,.093,1.4,21.7
2009,18,MIN,Ty Lawson,UNC,8,16088,29.2,42.1,.126,1.4,13.6
2009,19,ATL,Jeff Teague,Wake Forest,12,22164,26.8,52.4,.113,0.6,14.3
2009,20,UTA,Eric Maynor,VCU,5,3896,14.6,3.3,.041,-2.9,-0.8
2009,21,NOH,Darren Collison,UCLA,10,20796,29.4,49.9,.115,0.6,13.5
2009,22,POR,Victor Claver,,3,1072,13.4,0.2,.011,-3.6,-0.4
2009,23,SAC,Omri Casspi,,10,11959,20.3,19.6,.078,-0.8,3.5
2009,24,DAL,Byron Mullens,Ohio State,5,3446,18.2,0.6,.008,-4.0,-1.8
2009,25,OKC,Rodrigue Beaubois,,4,2896,15.9,4.8,.079,-0.1,1.4
2009,26,CHI,Taj Gibson,USC,12,21030,24.9,56.2,.128,-0.7,7.2
2009,27,MEM,DeMarre Carroll,Missouri,11,13675,23.7,29.5,.104,0.0,6.7
2009,28,MIN,Wayne Ellington,UNC,12,15290,21.0,20.1,.063,-1.5,2.0
2009,29,LAL,Toney Douglas,Florida State,8,7511,19.1,12.1,.077,-0.8,2.2
2009,30,CLE,Christian Eyenga,,2,1049,20.6,-0.4,-.020,-4.2,-0.6
2009,31,SAC,Jeff Ayres,Arizona State,6,2322,9.8,6.3,.131,-2.3,-0.2
2009,32,WAS,Jermaine Taylor,Central Florida,2,786,12.1,0.2,.014,-3.7,-0.3
2009,33,POR,Dante Cunningham,Villanova,10,14875,20.8,24.9,.080,-1.7,1.1
2009,34,DEN,Sergio Llull,,,,,,,,
2009,35,DET,DaJuan Summers,Georgetown,4,820,9.9,-0.1,-.008,-5.8,-0.8
2009,36,MEM,Sam Young,Pitt,4,3966,15.9,5.2,.063,-2.1,-0.1
2009,37,SAS,DeJuan Blair,Pitt,7,7054,16.6,19.0,.129,-1.2,1.4
2009,38,POR,Jon Brockman,Washington,3,1570,10.5,3.7,.113,-3.9,-0.8
2009,39,DET,Jonas Jerebko,,9,11323,17.8,25.8,.109,-1.0,2.9
2009,40,CHA,Derrick Brown,Xavier,3,2554,14.9,4.5,.085,-1.3,0.4
2009,41,MIL,Jodie Meeks,Kentucky,10,12110,22.5,24.3,.096,-0.6,4.2
2009,42,LAL,Patrick Beverley,Arkansas,9,12935,27.6,30.4,.113,0.9,9.5
2009,43,MIA,Marcus Thornton,LSU,8,11299,23.4,20.0,.085,0.2,6.2
2009,44,DET,Chase Budinger,Arizona,7,7998,19.7,13.9,.083,-0.5,2.9
2009,45,MIN,Nick Calathes,Florida,2,2011,15.6,2.6,.063,-0.5,0.8
2009,46,CLE,Danny Green,UNC,12,19390,25.6,47.2,.117,2.0,19.5
